draw,CXCL8 KO|NEUT,CXCL8 KO|D,IL1B KO|NEUT,IL1B KO|D,TNF KO|NEUT,TNF KO|D,STAT3 KO|NEUT,STAT3 KO|D,JAK2 inhibition|NEUT,JAK2 inhibition|D
266,70.77194689277555,39.667615063584684,100.0,100.0,32.25876432557227,11.450044545730364,4.245325443728176,1.1895381018645734,3.2034498293325053,0.8906290655251836
267,73.56330611826,49.612593258412595,100.0,100.0,30.563573083307773,13.476175362101838,8.505627148262274,3.1847228858471466,6.537567012920786,2.4153333085308093
268,67.11478460138348,38.75037137922172,100.0,100.0,37.24652165800014,15.540061584702558,7.601051328496888,2.486712147079151,5.743328251463242,1.8538732997108176
269,83.44393673000829,58.885164104737,100.0,100.0,21.04668982585839,7.041600286782634,6.214597339436978,1.8481869114596705,4.75318067382231,1.3982615042268831
270,65.35625890736966,39.377203217327676,100.0,100.0,38.328891044008,17.626879430721143,6.725014085478054,2.422285055854523,4.838258896020642,1.7204301138990408
271,70.4383616371016,38.06377896631334,100.0,100.0,32.38374633430689,10.994524803549233,8.484697275218188,2.335426954399944,6.226361894017074,1.6837081590148406
272,80.25252228384404,51.52817548361514,100.0,100.0,22.724372871277986,7.142847874277292,8.32063050962536,2.319007813585938,6.452638538003552,1.7723432108075698
273,75.67267386824756,50.05401650632256,100.0,100.0,28.493915007059556,11.377491876441947,6.366871382565941,2.1437717492105546,4.597896429563086,1.5289845354158893
274,82.71482680992058,55.76379350199847,100.0,100.0,20.698150605814604,6.433305507124098,4.873513763049441,1.3316294914807347,3.693340969989145,1.0001432829758405
275,75.31818326890388,54.90767936116316,100.0,100.0,28.608093761799182,13.785636501083488,9.45616929670895,4.000663822034212,6.845492427534849,2.848766793488644
276,79.03660977067814,57.276644161107996,100.0,100.0,24.561651709503995,10.376105773907096,6.239700821239646,2.3117070527297057,4.860280071552491,1.7841281713850243
277,73.08383500558347,38.14473537972869,100.0,100.0,30.115958416991408,8.91487065469665,6.213492158956269,1.4823761480305064,4.647075770484122,1.0947485732737405
