gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
LINC00501,-0.1732,0.518545,-0.1232,0.656822
LINC00506,0.0942,0.406507,0.0976,0.407261
LINC00578,0.1459,0.098445,0.0036,0.960872
TMEM44-AS1,-0.2589,0.496663,-0.0125,0.973714
LARS2-AS1,0.4443,0.070359,0.4983,0.050057
SLC9A9-AS1,0.0669,0.051939,0.0484,0.091777
OSBPL10-AS1,0.0,nan,0.0,nan
MIR5002,0.0,nan,0.0,nan
MIR5092,0.0,nan,0.0,nan
MIR5186,0.0,nan,0.0,nan
MIR5193,0.0,nan,0.0,nan
MIR5682,0.0,nan,0.0,nan
MIR5688,0.0,nan,0.0,nan
MIR5704,0.0,nan,0.0,nan
LRRC2-AS1,0.0,nan,0.0,nan
MTHFD2P1,-0.0615,0.7916,-0.1391,0.539702
LINC02067,-0.7857,0.042278,-0.6424,0.088875
XXYLT1-AS2,0.1441,0.187011,0.09,0.471121
SRGAP3-AS3,0.0,nan,0.0,nan
CCDC37-DT,0.0,nan,0.0,nan
EMC3-AS1,-0.9224,0.049246,-0.5384,0.230135
LINC00690,-0.3738,0.171655,-0.3588,0.188218
LINC00877,0.7952,0.002728,0.8351,0.003056
LINC01100,0.0,nan,0.0,nan
LINC01206,0.7108,0.055401,-0.0288,0.931381
LOC100996447,-0.1288,0.721479,-0.2514,0.489383
XXYLT1-AS1,0.0506,0.176013,0.0093,0.322778
THOC7-AS1,1.7758,2.6e-05,1.5809,7.9e-05
MIR5588,-0.1524,0.496122,-0.167,0.455666
MIR5787,0.0,nan,0.0,nan
MIR6083,0.0,nan,0.0085,0.322778
MIR548AY,0.0,nan,0.0,nan
MIR6822,0.0,nan,0.0,nan
MIR6823,0.0,nan,0.0,nan
MIR6824,0.0,nan,0.0,nan
MIR6825,0.0,nan,0.0,nan
MIR6826,0.0,nan,0.0,nan
MIR6827,0.0,nan,0.0,nan
MIR6828,0.0,nan,0.0,nan
MIR6829,0.0,nan,0.0,nan
MIR6872,0.0,nan,0.0,nan
MIR6890,0.0,nan,0.0,nan
MIR7110,0.0,nan,0.0,nan
MIR7976,0.0,nan,0.0,nan
MIR7977,0.0,nan,0.0,nan
MIR8060,0.0,nan,0.0,nan
MIR8064,0.0,nan,0.0,nan
MIR8076,0.0,nan,0.0,nan
ITPR1-DT,0.482,0.210287,0.7293,0.076998
CLSTN2-AS1,0.0266,0.185809,0.0304,0.163908
IL12A-AS1,-0.1626,0.381019,-0.1556,0.398796
LINC01279,-2.0944,0.0,-1.854,0.0
RBMS3-AS3,-0.7582,0.004647,-0.6465,0.011607
RASSF1-AS1,-0.2977,0.417528,-0.3887,0.30099
LINC01205,-0.0584,0.908168,-0.1831,0.716948
LINC01208,-0.2964,0.213873,-0.2425,0.301656
IQCF5-AS1,0.0,nan,0.0,nan
LOC101928882,-2.0538,9e-06,-1.4509,0.000319
LINC01210,0.0,nan,0.0,nan
LINC02082,0.0917,0.07933,0.0012,0.97795
SUCLG2-AS1,-0.0301,0.926282,-0.2081,0.532149
PRKAR2A-AS1,0.4126,0.003629,0.5907,0.000163
LSAMP-AS1,0.0184,0.160309,0.0134,0.322778
SAMMSON,-0.0549,0.713886,-0.0797,0.582433
LINC02042,0.045,0.321537,0.1024,0.054665
LINC01215,1.8456,0.0,1.6711,0.0
LINC01990,-0.3062,0.635998,-0.2916,0.654561
LINC02069,0.1014,0.318652,0.0225,0.769746
